Column1.1;Column1.2;Column1.3;Column1.4;Column1.5;Column1.6;Column1.7;Column1.8;Column1.9;Column1.10;Column1.11;Column1.12;Column1.13;Column1.14;Column1.15;Column1.16;Column1.17
COUNTRY;Country;SERIES;Series;PERIOD;Pay period;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2004;2004;USD;US Dollar;0;Units;;;17123.52;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2005;2005;USD;US Dollar;0;Units;;;17921.41;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2006;2006;USD;US Dollar;0;Units;;;18283.78;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2007;2007;USD;US Dollar;0;Units;;;18798.63;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2008;2008;USD;US Dollar;0;Units;;;18773.57;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2009;2009;USD;US Dollar;0;Units;;;18988.64;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2010;2010;USD;US Dollar;0;Units;;;18799.26;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2011;2011;USD;US Dollar;0;Units;;;18513.95;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2012;2012;USD;US Dollar;0;Units;;;18475.76;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2013;2013;USD;US Dollar;0;Units;;;18394.54;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2014;2014;USD;US Dollar;0;Units;;;18536.88;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2015;2015;USD;US Dollar;0;Units;;;19021.2;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2016;2016;USD;US Dollar;0;Units;;;20701.78;;
